,0,1,2,3
22,"Workshop Aids is a Beginning with the Industrial Revolution era, a workshop may be a room, rooms or building which provides both the area and tools (or machinery) that may be required for the manufacture or repair of manufactured goods. Workshops were the only places of production until the advent of industrialization and the development of larger factories. In the 20th and 21st century, many Western homes contain a workshop in the garage, basement, or an external shed. Home workshops typically contain a workbench, hand tools, power tools and other hardware.  Along with their practical applications for repair goods or do small manufacturing runs, workshops are used to tinker and make prototypes.Workshops may vary in industrial focus. For instance, some workshops may focus on automotive repair or restoration. Woodworking is one of the most common focuses, but metalworking, electronics work, and many types of electronic prototyping may be done., AIDS, also known as Aids Info Disk or PC Cyborg Trojan, is a Trojan horse that replaces the AUTOEXEC.BAT file, which would then be used by AIDS to count the number of times the computer has booted. Once this boot count reaches 90, AIDS hides directories and encrypts the names of all files on drive C: (rendering the system unusable), at which time the user is asked to 'renew the license' and contact PC Cyborg Corporation for payment (which would involve sending 189 US$ to a post office box in Panama). There exists more than one version of AIDS, and at least one version does not wait to mung drive C:, but will hide directories and encrypt file names upon the first boot after AIDS is installed. The AIDS software also presented to the user an end user license agreement, some of which read:

If you install [this] on a microcomputer...
then under terms of this license you agree to pay PC Cyborg Corporation in full for the cost of leasing these programs...
In the case of your breach of this license agreement, PC Cyborg reserves the right to take legal action necessary to recover any outstanding debts payable to PC Cyborg Corporation and to use program mechanisms to ensure termination of your use...
These program mechanisms will adversely affect other program applications...
You are hereby advised of the most serious consequences of your failure to abide by the terms of this license agreement; your conscience may haunt you for the rest of your life...
and your [PC] will stop functioning normally...
You are strictly prohibited from sharing [this product] with others...AIDS is considered to be an early example of a class of malware known as ""ransomware""., Aids is a 1987 Indian Malayalam film, directed by VP Mohammed. The film stars Prathapachandran, MG Soman and Gomathi in lead roles., The Workshop (French: L'Atelier) is a 2017 French drama film directed by Laurent Cantet. It was screened in the Un Certain Regard section at the 2017 Cannes Film Festival.",84000000_Tool Storage/Workshop Aids,84010000_Tool Storage/Workshop Aids,84010200_Workshop Aids
23,"Computer/Video Game Peripherals is a Video is an electronic medium for the recording, copying, playback, broadcasting, and display of moving visual media. Video was first developed for mechanical television systems, which were quickly replaced by cathode ray tube (CRT) systems which were later replaced by flat panel displays of several types.
Video systems vary in display resolution, aspect ratio, refresh rate, color capabilities and other qualities. Analog and digital variants exist and can be carried on a variety of media, including radio broadcast, magnetic tape, optical discs, computer files, and network streaming., ""Video"" is the first single released by American singer-songwriter India.Arie  from her album Acoustic Soul. This song is her most successful one to date on the Billboard Hot 100. In 2002, ""Video"" was nominated for four Grammy Awards:  ""Record of the Year"", ""Song of the Year"", ""Best Female R&B Vocal Performance"" and ""Best R&B song"".  The song also contains a sample of ""Fun"" by Brick and a sample of ""Top Billin'"" by Audio Two., Video is a discontinued American consumer electronics magazine that was published from 1977 to 1999 by Reese Communications with a focus on video and audio devices. The magazine showcases new audiovisual products, analyzes current practices and trends in the field, and provides critical reviews of newly marketed products and equipment. During its early years, it competed fiercely with contemporary journals like Video Review and Video Buyer's Review—ultimately culminating in a 1980 trademark infringement suit over use of the term ""Video Buyer's Guide"". In March 1995, Video was acquired from Reese by Hachette Filipacchi, and in 1999 it was merged with their bi-monthly Sound & Image magazine to become Sound & Vision.
Today, the legacy of Video lies in the history of video game journalism as its regular column, ""Arcade Alley"", represents the earliest example of a video game column in a mainstream publication. Arcade Alley is credited with having popularized the nascent medium, leading its two main writers to create the first US video game magazine, Electronic Games., A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a two- or three-dimensional video display device such as a touchscreen, virtual reality headset or monitor/TV set. Since the 1980s, video games have become an increasingly important part of the entertainment industry, and whether they are also a form of art is a matter of dispute.
The electronic systems used to play video games are called platforms. Video games are developed and released for one or several platforms and may not be available on others. Specialized platforms such as arcade games, which present the game in a large, typically coin-operated chassis, were common in the 1980s in video arcades, but declined in popularity as other, more affordable platforms became available. These include dedicated devices such as video game consoles, as well as general-purpose computers like a laptop, desktop or handheld computing devices.
The input device used for games, the game controller, varies across platforms. Common controllers include gamepads, joysticks, mouse devices, keyboards, the touchscreens of mobile devices, or even a person's body, using a Kinect sensor. Players view the game on a display device such as a television or computer monitor or sometimes on virtual reality head-mounted display goggles. There are often game sound effects, music and voice actor lines which come from loudspeakers or headphones. Some games in the 2000s include haptic, vibration-creating effects, force feedback peripherals and virtual reality headsets.
Since the 2010s, the commercial importance of the video game industry has been increasing. The emerging Asian markets and mobile games on smartphones in particular are driving the growth of the industry. As of 2018, video games generated sales of US$134.9 billion annually worldwide, and were the third-largest segment in the U.S. entertainment market, behind broadcast and cable TV., A video game genre is a classification assigned to a video game based primarily on its gameplay (type of interaction) rather than visual or narrative features. A video game genre is  normally defined by a set of gameplay challenges considered independently of setting or game-world content, unlike works of fiction that are expressed through other media, such as films or books. For example, a shooter game is still a shooter game, regardless of where or when it takes place.As with nearly all varieties of genre classification, the matter of a specific game's genre is open to subjective interpretation. An individual game may belong to several genres at once.",65000000_Computing,65010000_Computers/Video Games,65010700_Computer/Video Game Peripherals
24,"Electric Lamps/Light Bulbs/Lighting is a An electric light is a device that produces visible light from electric current. It is the most common form of artificial lighting and is essential to modern society, providing interior lighting for buildings and exterior light for evening and nighttime activities. In technical usage, a replaceable component that produces light from electricity is called a lamp. Lamps are commonly called light bulbs; for example, the incandescent light bulb. Lamps usually have a base made of ceramic, metal, glass, or plastic, which secures the lamp in the socket of a light fixture. The electrical connection to the socket may be made with a screw-thread base, two metal pins, two metal caps or a bayonet cap.
The three main categories of electric lights are incandescent lamps, which produce light by a filament heated white-hot by electric current, gas-discharge lamps, which produce light by means of an electric arc through a gas, and LED lamps, which produce light by a flow of electrons across a band gap in a semiconductor.
Before electric lighting became common in the early 20th century, people used candles, gas lights, oil lamps, and fires. English chemist Humphry Davy developed the first incandescent light in 1802, followed by the first practical electric arc light in 1806. By the 1870s, Davy's arc lamp had been successfully commercialized, and was used to light many public spaces. Efforts by Swan and Edison
led to commercial incandescent light bulbs becoming widely available in the 1880s, and by the early twentieth century these had completely replaced arc lamps.The energy efficiency of electric lighting has increased radically since the first demonstration of arc lamps and the incandescent light bulb of the 19th century. Modern electric light sources come in a profusion of types and sizes adapted to many applications. Most modern electric lighting is powered by centrally generated electric power, but lighting may also be powered by mobile or standby electric generators or battery systems. Battery-powered light is often reserved for when and where stationary lights fail, often in the form of flashlights or electric lanterns, as well as in vehicles., A lighthouse is a tower, building, or another type of structure designed to emit light from a system of lamps and lenses and to serve as a navigational aid for maritime pilots at sea or on inland waterways.
Lighthouses mark dangerous coastlines, hazardous shoals, reefs, rocks, and safe entries to harbors; they also assist in aerial navigation.  Once widely used, the number of operational lighthouses has declined due to the expense of maintenance and has become uneconomical since the advent of cheaper and often much more effective electronic navigational systems., Light or visible light is electromagnetic radiation within the portion of the electromagnetic spectrum that can be perceived by the human eye. Visible light is usually defined as having wavelengths in the range of 400–700 nanometers (nm), or 4.00 × 10−7 to 7.00 × 10−7 m, between the infrared (with longer wavelengths) and the ultraviolet (with shorter wavelengths). This wavelength means a frequency range of roughly 430–750 terahertz (THz).

The main source of light on Earth is the Sun. Sunlight provides the energy that green plants use to create sugars mostly in the form of starches, which release energy into the living things that digest them. This process of photosynthesis provides virtually all the energy used by living things. Historically, another important source of light for humans has been fire, from ancient campfires to modern kerosene lamps. With the development of electric lights and power systems, electric lighting has effectively replaced firelight. Some species of animals generate their own light, a process called bioluminescence. For example, fireflies use light to locate mates, and vampire squids use it to hide themselves from prey.
The primary properties of visible light are intensity, propagation direction, frequency or wavelength spectrum, and polarization, while its speed in a vacuum, 299,792,458 meters per second, is one of the fundamental constants of nature. Visible light, as with all types of electromagnetic radiation (EMR), is experimentally found to always move at this speed in a vacuum.In physics, the term light sometimes refers to electromagnetic radiation of any wavelength, whether visible or not. In this sense, gamma rays, X-rays, microwaves and radio waves are also light. Like all types of EM radiation, visible light propagates as waves. However, the energy imparted by the waves is absorbed at single locations the way particles are absorbed. The absorbed energy of the EM waves is called a photon, and represents the quanta of light. When a wave of light is transformed and absorbed as a photon, the energy of the wave instantly collapses to a single location, and this location is where the photon ""arrives."" This is what is called the wave function collapse. This dual wave-like and particle-like nature of light is known as the wave–particle duality. The study of light, known as optics, is an important research area in modern physics., Light or visible light is electromagnetic radiation within the portion of the electromagnetic spectrum that can be perceived by the human eye. Visible light is usually defined as having wavelengths in the range of 400–700 nanometers (nm), or 4.00 × 10−7 to 7.00 × 10−7 m, between the infrared (with longer wavelengths) and the ultraviolet (with shorter wavelengths). This wavelength means a frequency range of roughly 430–750 terahertz (THz).

The main source of light on Earth is the Sun. Sunlight provides the energy that green plants use to create sugars mostly in the form of starches, which release energy into the living things that digest them. This process of photosynthesis provides virtually all the energy used by living things. Historically, another important source of light for humans has been fire, from ancient campfires to modern kerosene lamps. With the development of electric lights and power systems, electric lighting has effectively replaced firelight. Some species of animals generate their own light, a process called bioluminescence. For example, fireflies use light to locate mates, and vampire squids use it to hide themselves from prey.
The primary properties of visible light are intensity, propagation direction, frequency or wavelength spectrum, and polarization, while its speed in a vacuum, 299,792,458 meters per second, is one of the fundamental constants of nature. Visible light, as with all types of electromagnetic radiation (EMR), is experimentally found to always move at this speed in a vacuum.In physics, the term light sometimes refers to electromagnetic radiation of any wavelength, whether visible or not. In this sense, gamma rays, X-rays, microwaves and radio waves are also light. Like all types of EM radiation, visible light propagates as waves. However, the energy imparted by the waves is absorbed at single locations the way particles are absorbed. The absorbed energy of the EM waves is called a photon, and represents the quanta of light. When a wave of light is transformed and absorbed as a photon, the energy of the wave instantly collapses to a single location, and this location is where the photon ""arrives."" This is what is called the wave function collapse. This dual wave-like and particle-like nature of light is known as the wave–particle duality. The study of light, known as optics, is an important research area in modern physics.",78000000_Electrical Supplies,78030000_Electrical Lighting,78030300_Electric Lamps/Light Bulbs/Lighting
25,Insulation is a ,83000000_Building Products,83010000_Building Products,83010300_Insulation
26,"Camping Heating/Lighting Equipment is a A theatre lighting designer (or LD) works with the director, choreographer, set designer, costume designer, and sound designer to create the lighting, atmosphere, and time of day for the production in response to the text, while keeping in mind issues of visibility,  safety, and cost. The LD also works closely with the stage manager or show control programming, if show control systems are used in that production.  Outside stage lighting, the job of a Lighting Designer can be much more diverse and they can be found working on rock and pop tours, corporate launches, art installations, or lighting effects at sporting events., A gaffer is the chief lighting technician on a set and is the head of the electrical department, In video gaming, camping is a logical, yet controversial tactic where a player obtains a static strategic position of advantage, such as camping in a bush, or some other discreet place which is unlikely to be searched. This behaviour manifests online in different ways depending on the type of game (online text adventure, graphical MMO, first-person shooter, etc.), but invariably involves a player waiting in one location (one that is not easily accessible for the other players to reach) for the game (or other players of the game) to do something which they can take advantage of, often repeatedly. By camping, a player is able to learn and adapt to the limited environment he/she is playing in; noting specific points to check repetitively. By following this method with little fault, a lower number of deaths can be achieved.Camping is often seen as a method for circumventing much of the effort usually required to acquire a desired reward makes the activity contentious. Among many players, camping is considered very similar to cheating, especially in deathmatch-type first-person shooter games. The most common reason for this is that if every player camps, there may be no opportunities for players to come into conflict, and thus there will be no game at all.
Multiple players camping in mutually supportive positions is referred to in some types of games as turtling., Lighting or illumination is the deliberate use of light to achieve practical or aesthetic effects. Lighting includes the use of both artificial light sources like lamps and light fixtures, as well as natural illumination by capturing daylight. Daylighting (using windows, skylights, or light shelves) is sometimes used as the main source of light during daytime in buildings.  This can save energy in place of using artificial lighting, which represents a major component of energy consumption in buildings.  Proper lighting can enhance task performance, improve the appearance of an area, or have positive psychological effects on occupants.
Indoor lighting is usually accomplished using light fixtures, and is a key part of interior design.  Lighting can also be an intrinsic component of landscape projects.",74000000_Camping,74010000_Camping,74010200_Camping Heating/Lighting Equipment
27,"Fuel Pumps is a A filling station is a facility that sells fuel and engine lubricants for motor vehicles. The most common fuels sold in the 2010s are gasoline (gasoline or gas in the United States and Canada, generally petrol elsewhere) and diesel fuel. A filling station that sells only electric energy is also known as a charging station, while a typical filling station can also be known as a fueling or gas station (United States and Canada), gasbar (Canada), gasoline stand or SS (Japan), petrol pump or petrol bunk (India, Pakistan and Bangladesh), garage, petrol station (Australia, Hong Kong, New Zealand, Singapore, South Africa, United Kingdom and Ireland), service station (Australia, France, Italy, Japan, New Zealand and United Kingdom and Ireland), servo (Australia), or fuel station (Northern Europe and Israel).
Fuel dispensers are used to pump gasoline, diesel, compressed natural gas, CGH2, HCNG, LPG, liquid hydrogen, kerosene, alcohol fuel (like methanol, ethanol, butanol, propanol), biofuels (like straight vegetable oil, biodiesel), or other types of fuel into the tanks within vehicles and calculate the financial cost of the fuel transferred to the vehicle. Fuel dispensers are also known as bowsers (in some parts of Australia), petrol pumps (in most Commonwealth countries) or gas pumps (in North America). Besides fuel dispensers, one other significant device which is also found in filling stations and can refuel certain (compressed-air) vehicles is an air compressor, although generally these are just used to inflate car tires (tyres). Also, many filling stations incorporate a convenience store, which like most other buildings generally have electricity sockets; hence, in some cases, plug-in electric vehicles can be recharged.
The convenience stores found in filling stations typically sell candy, soft drinks, snacks and, in some cases, a small selection of grocery items, such as milk. Some also sell propane or butane and have added shops to their primary business. Conversely, some chain stores, such as supermarkets, discount stores, warehouse clubs, or traditional convenience stores, have provided filling stations on the premises., Elijah Jerry ""Pumpsie"" Green (October 27, 1933 – July 17, 2019) was an American Major League Baseball (MLB) infielder who played with the Boston Red Sox (1959–62) and New York Mets (1963). A switch-hitter who threw right-handed, he was listed as 6 ft (1.83 m) tall and 175 lb (79 kg).
Green had the distinction of being the first black player to play for the Red Sox, the last pre-expansion major-league club to integrate. In his Boston tenure, he was used mostly as a pinch runner or day-off replacement for infielders Pete Runnels and Don Buddin. Green made his debut on July 21, 1959, pinch-running in a 2–1 loss against the Chicago White Sox., A fuel is any material that can be made to react with other substances so that it releases  energy as heat energy or to be used for work. The concept was originally applied solely to those materials capable of releasing chemical energy but has since also been applied to other sources of heat energy such as nuclear energy (via nuclear fission and  nuclear fusion).
The heat energy released by reactions of fuels is converted into mechanical energy via a heat engine. Other times the heat itself is valued for warmth, cooking, or industrial processes, as well as the illumination that comes with combustion. Fuels are also used in the cells of organisms in a process known as cellular respiration, where organic molecules are oxidized to release usable energy. Hydrocarbons and related oxygen-containing molecules are by far the most common source of fuel used by humans, but other substances, including radioactive metals, are also utilized.
Fuels are contrasted with other substances or devices storing potential energy, such as those that directly release electrical energy (such as batteries and capacitors) or mechanical energy (such as flywheels, springs, compressed air, or water in a reservoir).",87000000_Fuels/Gases,87020000_Fuel Storage/Transfer,87020100_Fuel Pumps
28,"Gift Wrap/Accessories is a A gift, in the law of property, is the voluntary transfer of property from one person (the donor or grantor) to another (the donee or grantee) without full valuable consideration. In order for a gift to be legally effective, three requirements must be met:

Intention of donor to give the gift to the donee (donative intent)
Delivery of gift to donee.
Acceptance of gift by donee., Gift wrapping is the act of enclosing a gift in some sort of material. Wrapping paper is a kind of paper designed for gift wrapping. An alternative to gift wrapping is using a gift box or bag. A wrapped or boxed gift may be held closed with ribbon and topped with a decorative bow (an ornamental knot made of ribbon)., A gift or a present is an item given to someone without the expectation of payment or anything in return. An item is not a gift if that item is already owned by the one to whom it is given. Although gift-giving might involve an expectation of reciprocity, a gift is meant to be free. In many countries, the act of mutually exchanging money, goods, etc. may sustain social relations and contribute to social cohesion. Economists have elaborated the economics of gift-giving into the notion of a gift economy. By extension the term gift can refer to any item or act of service that makes the other happier or less sad, especially as a favor, including forgiveness and kindness. Gifts are also first and foremost presented on occasions such as birthdays and holidays., The Gift is a 2003 documentary film by filmmaker Louise Hogarth documenting the phenomenon of deliberate HIV infection; bugchasing. The film follows the stories of two ""bug chasers"" who are seeking ""the gift"" of HIV infection. Interviews are also conducted with AIDS activist and author, Walt Odets, PhD, and HIV positive and negative men. The film explores the normalization and glamorization of HIV/AIDS and discusses the isolation and division caused by HIV status in the gay community.",62000000_Stationery/Office Machinery/Occasion Supplies,62050000_Greeting Cards/Gift Wrap/Occasion Supplies,62050100_Gift Wrap/Accessories
29,"General Personal Hygiene is a The GNU General Public License (GNU GPL or GPL) is a series of widely used free software licenses that guarantee end users the freedom to run, study, share, and modify the software. The licenses were originally written by Richard Stallman, former head of the Free Software Foundation (FSF), for the GNU Project, and grant the recipients of a computer program the rights of the Free Software Definition. The GPL series are all copyleft licenses, which means that any derivative work must be distributed under the same or equivalent license terms. This is in distinction to permissive software licenses, of which the BSD licenses and the MIT License are widely used, less restrictive examples. GPL was the first copyleft license for general use.
Historically, the GPL license family has been one of the most popular software licenses in the free and open-source software domain. Prominent free software programs licensed under the GPL include the Linux kernel and the GNU Compiler Collection (GCC). David A. Wheeler argues that the copyleft provided by the GPL was crucial to the success of Linux-based systems, giving the programmers who contributed to the kernel the assurance that their work would benefit the whole world and remain free, rather than being exploited by software companies that would not have to give anything back to the community.In 2007, the third version of the license (GPLv3) was released to address some perceived problems with the second version (GPLv2) which were discovered during the latter's long-time usage. To keep the license up to date, the GPL license includes an optional ""any later version"" clause, allowing users to choose between the original terms or the terms in new versions as updated by the FSF. Developers can omit it when licensing their software; the Linux kernel, for instance, is licensed under GPLv2 without the ""any later version"" clause., Petteri Johannes Koponen (born 13 April 1988) is a Finnish professional basketball player for Bayern Munich of the Basketball Bundesliga (BBL) and the EuroLeague. Standing at 1.94 m (6 ft 4 1⁄2 in), he plays both point guard and shooting guard positions. He was drafted as the 30th pick by the Philadelphia 76ers in the 2007 NBA draft, and his NBA rights are currently held by the Dallas Mavericks., A personal computer (PC) is a multi-purpose computer whose size, capabilities, and price make it feasible for individual use. Personal computers are intended to be operated directly by an end user, rather than by a computer expert or technician. Unlike large costly minicomputers and mainframes, time-sharing by many people at the same time is not used with personal computers.
Institutional or corporate computer owners in the 1960s had to write their own programs to do any useful work with the machines. While personal computer users may develop their own applications, usually these systems run commercial software, free-of-charge software (""freeware""), which is most often proprietary, or free and open-source software, which is provided in ""ready-to-run"", or binary, form. Software for personal computers is typically developed and distributed independently from the hardware or operating system manufacturers. Many personal computer users no longer need to write their own programs to make any use of a personal computer, although end-user programming is still feasible. This contrasts with mobile systems, where software is often only available through a manufacturer-supported channel, and end-user program development may be discouraged by lack of support by the manufacturer.Since the early 1990s, Microsoft operating systems and Intel hardware dominated much of the personal computer market, first with MS-DOS and then with Microsoft Windows. Alternatives to Microsoft's Windows operating systems occupy a minority share of the industry. These include Apple's macOS and free and open-source Unix-like operating systems, such as Linux.
The advent of personal computers and the concurrent Digital Revolution have significantly affected the lives of people in all countries., Multiple sclerosis (MS) is a demyelinating disease in which the insulating covers of nerve cells in the brain and spinal cord are damaged. This damage disrupts the ability of parts of the nervous system to transmit signals, resulting in a range of signs and symptoms, including physical, mental, and sometimes psychiatric problems. Specific symptoms can include double vision, blindness in one eye, muscle weakness and trouble with sensation or coordination. MS takes several forms, with new symptoms either occurring in isolated attacks (relapsing forms) or building up over time (progressive forms). Between attacks, symptoms may disappear completely; however, permanent neurological problems often remain, especially with the advancement of the disease.While the cause is unclear, the underlying mechanism is thought to be either destruction by the immune system or failure of the myelin-producing cells. Proposed causes for this include genetics and environmental factors such as being triggered by a viral infection. MS is usually diagnosed based on the presenting signs and symptoms and the results of supporting medical tests.There is no known cure for multiple sclerosis. Treatments attempt to improve function after an attack and prevent new attacks. Medications used to treat MS, while modestly effective, can have side effects and be poorly tolerated. Physical therapy can help with people's ability to function. Many people pursue alternative treatments, despite a lack of evidence of benefit. The long-term outcome is difficult to predict, with good outcomes more often seen in women, those who develop the disease early in life, those with a relapsing course and those who initially experienced few attacks. Life expectancy is on average 5 to 10 years lower than that of the unaffected population.Multiple sclerosis is the most common immune-mediated disorder affecting the central nervous system. In 2015, about 2.3 million people were affected globally, with rates varying widely in different regions and among different populations. In that year, about 18,900 people died from MS, up from 12,000 in 1990. The disease usually begins between the ages of 20 and 50 and is twice as common in women as in men. MS was first described in 1868 by French neurologist Jean-Martin Charcot. The name multiple sclerosis refers to the numerous glial scars (or sclerae – essentially plaques or lesions) that develop on the white matter of the brain and spinal cord. A number of new treatments and diagnostic methods are under development., Personal is the nineteenth book in the Jack Reacher series written by Lee Child.
The novel was published on 28 August 2014 in the UK, New Zealand, Australia and Ireland, and on September 2, 2014, in the United States and Canada. The plot of the book revolves around Reacher's pursuit of a sniper who has attempted to assassinate the President of France. This book is written in the first person.",53000000_Beauty/Personal Care/Hygiene,53180000_Personal Hygiene Products,53181100_General Personal Hygiene
30,"Hunting Sports Aids is a A stadium (plural stadiums or stadia) is a place or venue for (mostly) outdoor sports, concerts, or other events and consists of a field or stage either partly or completely surrounded by a tiered structure designed to allow spectators to stand or sit and view the event.Pausanias noted that for about half a century the only event at the ancient Greek Olympic festival was the race that comprised one length of the stadion at Olympia, where the word ""stadium"" originated.Most of the stadiums with a capacity of at least 10,000 are used for association football. Other popular stadium sports include gridiron football, baseball, cricket, the various codes of rugby, field lacrosse, bandy, and bullfighting. Many large sports venues are also used for concerts., Sport includes all forms of competitive physical activity or games which, through casual or organized participation, at least in part aim to use, maintain or improve physical ability and skills while providing enjoyment to participants, and in some cases, entertainment for spectators. Sports can bring positive results to one's physical health. Hundreds of sports exist, from those between single contestants, through to those with hundreds of simultaneous participants, either in teams or competing as individuals. In certain sports such as racing, many contestants may compete, simultaneously or consecutively, with one winner; in others, the contest (a match) is between two sides, each attempting to exceed the other. Some sports allow a ""tie"" or ""draw"", in which there is no single winner; others provide tie-breaking methods to ensure one winner and one loser. A number of contests may be arranged in a tournament producing a champion. Many sports leagues make an annual champion by arranging games in a regular sports season, followed in some cases by playoffs.
Sport is generally recognised as system of activities which are based in physical athleticism or physical dexterity, with the largest major competitions such as the Olympic Games admitting only sports meeting this definition, and other organisations such as the Council of Europe using definitions precluding activities without a physical element from classification as sports. However, a number of competitive, but non-physical, activities claim recognition as mind sports. The International Olympic Committee (through ARISF) recognises both chess and bridge as bona fide sports, and SportAccord, the international sports federation association, recognises five non-physical sports: bridge, chess, draughts (checkers), Go and xiangqi, and limits the number of mind games which can be admitted as sports.Sport is usually governed by a set of rules or customs, which serve to ensure fair competition, and allow consistent adjudication of the winner. Winning can be determined by physical events such as scoring goals or crossing a line first. It can also be determined by judges who are scoring elements of the sporting performance, including objective or subjective measures such as technical performance or artistic impression.
Records of performance are often kept, and for popular sports, this information may be widely announced or reported in sport news. Sport is also a major source of entertainment for non-participants, with spectator sport drawing large crowds to sport venues, and reaching wider audiences through broadcasting. Sport betting is in some cases severely regulated, and in some cases is central to the sport.
According to A.T. Kearney, a consultancy, the global sporting industry is worth up to $620 billion as of 2013. The world's most accessible and practised sport is running, while association football is the most popular spectator sport., AIDS, also known as Aids Info Disk or PC Cyborg Trojan, is a Trojan horse that replaces the AUTOEXEC.BAT file, which would then be used by AIDS to count the number of times the computer has booted. Once this boot count reaches 90, AIDS hides directories and encrypts the names of all files on drive C: (rendering the system unusable), at which time the user is asked to 'renew the license' and contact PC Cyborg Corporation for payment (which would involve sending 189 US$ to a post office box in Panama). There exists more than one version of AIDS, and at least one version does not wait to mung drive C:, but will hide directories and encrypt file names upon the first boot after AIDS is installed. The AIDS software also presented to the user an end user license agreement, some of which read:

If you install [this] on a microcomputer...
then under terms of this license you agree to pay PC Cyborg Corporation in full for the cost of leasing these programs...
In the case of your breach of this license agreement, PC Cyborg reserves the right to take legal action necessary to recover any outstanding debts payable to PC Cyborg Corporation and to use program mechanisms to ensure termination of your use...
These program mechanisms will adversely affect other program applications...
You are hereby advised of the most serious consequences of your failure to abide by the terms of this license agreement; your conscience may haunt you for the rest of your life...
and your [PC] will stop functioning normally...
You are strictly prohibited from sharing [this product] with others...AIDS is considered to be an early example of a class of malware known as ""ransomware"".",71000000_Sports Equipment,71010000_Sports Equipment,71011700_Hunting Sports Aids
31,"Organizational Planning Stationery is a Stationery is a mass noun referring to commercially manufactured writing materials, including cut paper, envelopes, writing implements, continuous form paper, and other office supplies. Stationery includes materials to be written on by hand (e.g., letter paper) or by equipment For example: computer printers., An organizational founder is a person who has undertaken some or all of the work needed to create a new organization, whether this is a business, a charitable organization, a governing body, a school, a group of entertainers, or some other kind of organization. If there are multiple founders, each can be referred to as a co-founder. If the organization is a business, the founder is usually an entrepreneur. If an organization is created to carry out charitable work, the founder is generally considered a philanthropist., Family planning services are defined as ""educational, comprehensive medical or social activities which enable individuals, including minors, to determine freely the number and spacing of their children and to select the means by which this may be achieved"".  Family planning may involve consideration of the number of children a woman wishes to have, including the choice to have no children, as well as the age at which she wishes to have them. These matters are influenced by external factors such as marital situation, career considerations, financial position, and any disabilities that may affect their ability to have children and raise them. If sexually active, family planning may involve the use of contraception and other techniques to control the timing of reproduction.Other aspects of family planning include sex education, prevention and management of sexually transmitted infections, pre-conception counseling and management, and infertility management. Family planning, as defined by the United Nations and the World Health Organization, encompasses services leading up to conception. Abortion is not considered a component of family planning, although access to contraception and family planning reduces the need for abortion.Family planning is sometimes used as a synonym or euphemism for access to and the use of contraception. However, it often involves methods and practices in addition to contraception. Additionally, there are many who might wish to use contraception but are not, necessarily, planning a family (e.g., unmarried adolescents, young married couples delaying childbearing while building a career); family planning has become a catch-all phrase for much of the work undertaken in this realm. Contemporary notions of family planning, however, tend to place a woman and her childbearing decisions at the center of the discussion, as notions of women's empowerment and reproductive autonomy have gained traction in many parts of the world. It is most usually applied to a female-male couple who wish to limit the number of children they have and/or to control the timing of pregnancy (also known as spacing children).
Family planning has been shown to reduce teenage birth rates and birth rates for unmarried women., Stationery Stores F.C. is a Nigerian football club based in Lagos.",62000000_Stationery/Office Machinery/Occasion Supplies,62060000_Stationery/Office Machinery,62060400_Organizational Planning Stationery
